product,price,rating,rating_count,product url
"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls","₹1,700",,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDE3OTA0NzY3MDY1OTkxOjE2NjcxMTE4MjM6c3BfYXRmOjIwMDY1NTMzNjg0Njk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2Fuppercase-Backpack-2500EBP1-repellent-sustainable%2Fdp%2FB0B81YTTWS%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbags%26qid%3D1667111823%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sr%3D8-1-spons%26psc%3D1
Killer Louis 38L Large Laptop Backpack With 3 Compartments Polyester Trendy Waterproof Travel Backpack,"₹1,801",,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDE3OTA0NzY3MDY1OTkxOjE2NjcxMTE4MjM6c3BfYXRmOjIwMDIxNDI3OTc2NTA2OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FKiller-Backpack-Compartments-Polyester-Waterproof%2Fdp%2FB07CDD6YS2%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbags%26qid%3D1667111823%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sr%3D8-2-spons%26psc%3D1
American Tourister 32 Ltrs Grey Casual Backpack (AMT FIZZ SCH BAG 02 - GREY),₹899,,,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGBVC/ref=sr_1_3?keywords=bags&qid=1667111823&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-3
15.6 inch Laptop Bag Backpack Fashion Rucksack Casual Student School Bag Computer Bag College Bag Office Bag Business Bag Unisex Travel Backpack,₹625,,,https://www.amazon.in/Backpack-Fashion-Rucksack-Computer-Business/dp/B0BKGTW32W/ref=sr_1_omk_4?keywords=bags&qid=1667111823&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-4
Skybags Brat Black 46 Cms Casual Backpack,₹669,,,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?keywords=bags&qid=1667111823&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-5
Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),₹699,,,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_6?keywords=bags&qid=1667111823&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&smid=A1UVZJ9N7FK5G6&sr=8-6
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port ( LEGEND ) and anti -theft back pocket Laptop bag ,office bag college bags",₹709,,,https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_7?keywords=bags&qid=1667111823&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-7
Wesley Milestone 2.0 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Blue and Black),₹598,,,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_8?keywords=bags&qid=1667111823&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-8
Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),₹568,,,https://www.amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_9?keywords=bags&qid=1667111823&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-9
Martucci Large 35 L Laptop Backpack Spacy Unisex Laptop/College/School/Travel Backpack with Rain Cover and Reflective Strip,₹789,,,https://www.amazon.in/Martucci-Backpack-College-Reflective-Airport/dp/B0B7DVC3TL/ref=sr_1_10?keywords=bags&qid=1667111823&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-10
Cosmus Vogue Casual Laptop Backpack with USB Charger Port 44cm 26 Litre Grey College Bag,"₹1,358",,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDE3OTA0NzY3MDY1OTkxOjE2NjcxMTE4MjM6c3BfbXRmOjIwMDQxNjk1Njc2NTA2OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FCosmus-Casual-Backpack-Charger-College%2Fdp%2FB08D7D21FV%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dbags%26qid%3D1667111823%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sr%3D8-11-spons%26psc%3D1
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & A. Blue 1000),"₹1,499",,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDE3OTA0NzY3MDY1OTkxOjE2NjcxMTE4MjM6c3BfbXRmOjIwMDMxMzA3NTc2Mzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FHEROZ-Hammer-Backpack-Resistant-Durable%2Fdp%2FB07M82M8G7%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dbags%26qid%3D1667111823%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sr%3D8-12-spons%26psc%3D1%26smid%3DAGHKR430JFM4U
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹899,,,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_13?keywords=bags&qid=1667111823&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-13
AirCase 13 Inch/ 14 Inch/15.6 Inch Premium Vegan Leather Laptop Backpack for Men & Women,₹999,,,https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_14?keywords=bags&qid=1667111823&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-14
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹349,,,https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_15?keywords=bags&qid=1667111823&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-15
American Tourister Casual Backpack,"₹1,096",,,https://www.amazon.in/American-Tourister-AMT-SCH-BAG01/dp/B07CJCFNZG/ref=sr_1_16?keywords=bags&qid=1667111823&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-16
ADISA Laptop Backpack 31 Ltrs,₹509,,,https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_17?keywords=bags&qid=1667111823&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-17
Half Moon 30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls,₹589,,,https://www.amazon.in/Half-Moon-Waterproof-Laptop-Backpack/dp/B09QM9N1B3/ref=sr_1_18?keywords=bags&qid=1667111823&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-18
DEIN KLEIDER Men's Nylon Messenger Bag,₹305,,,https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_19?keywords=bags&qid=1667111823&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-19
F Gear Luxur Brown 25 liter Laptop Backpack (2404),"₹1,090",,,https://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_20?keywords=bags&qid=1667111823&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sr=8-20
Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),₹699,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDE3OTA0NzY3MDY1OTkxOjE2NjcxMTE4MjM6c3BfYnRmOjIwMDM1MTgyOTQ3Nzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dbags%26qid%3D1667111823%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26smid%3DA1UVZJ9N7FK5G6%26sr%3D8-21-spons%26psc%3D1
"North zone Sport 34 Litres Stylish Backpack | School College Bag For Boys & Girls | Laptop Bag With USB Charging Waterproof Material, Laptop size upto 15.6 inches Capacity: upto 35 Ltrs",₹674,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NDE3OTA0NzY3MDY1OTkxOjE2NjcxMTE4MjM6c3BfYnRmOjIwMDM4MDA2MTg3Nzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FBackpack-Charging-Waterproof-Material-Capacity%2Fdp%2FB09MFWNY2C%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dbags%26qid%3D1667111823%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sr%3D8-22-spons%26psc%3D1
